s0584d,1,1.49,0.55,0.21,0.12
s0586f,1,1.8,0.7,0.03,-0.18
s05871,1,1.78,0.59,0.22,0.05
s0586a,1,1.65,0.65,0.11,0.08
s05869,1,2.01,0.66,0.22,-0.08
s05859,1,1.82,0.71,0.2,0.3
s058b9,1,1.66,0.35,0.22,0.02
s058bc,1,1.73,0.48,0.14,-0.56
s102b8,1,1.85,0.63,0.17,0.32
s058d2,1,1.88,0.57,0.13,0.11
s058d4,1,1.78,0.67,0.24,-0.07
s058d1,1,1.92,0.63,0.16,-0.58
s058a1,1,1.85,0.75,0.22,0.07
s058a0,1,1.3,0.57,0.14,0.1
s058a7,1,1.95,0.68,0.22,-0.08
s0589f,1,1.17,0.59,0.04,0.04
s0589c,1,1.77,0.69,0.18,-0.12
s0589b,1,1.53,0.48,0.07,0.07
s058aa,1,1.76,0.76,0.18,0.05
s058a9,1,1.78,0.72,0.09,-0.47
s137ca,1,1.05,0.72,0.07,-0.2
s05881,1,1.3,0.71,0.21,0.03
s058ea,1,1.44,0.48,0.07,0.13
s058e9,1,1.49,0.61,0.23,-0.13
s058e7,1,1.7,0.5,0.19,-0.08
s057b7,1,1.46,0.61,0.27,0.03
s057b3,1,1.47,0.56,0.15,-0.07
s057b2,1,1.67,0.65,0.17,-0.29
s057f1,1,1.8,0.65,0.27,0.01
s057ec,1,1.53,0.66,0.25,-0.13
s057db,1,1.53,0.62,0.23,0.04
s057d8,1,1.81,0.61,0.11,0.14
s057e4,1,1.48,0.63,0.26,-0.01
s057d6,1,2.05,0.7,0.25,-0.04
s057d5,1,1.77,0.7,0.23,-0.27
s057d4,1,1.36,0.6,0.19,0.07
s057e3,1,1.59,0.75,0.25,-0.02
s0583b,1,1.54,0.54,0.19,0.12
s05839,1,1.84,0.56,0.24,0.1
s137d0,1,1.95,0.74,0.16,-0.04
s137d1,1,1.45,0.63,0.31,-0.25
s137d3,1,1.41,0.65,0.22,0
s137d4,1,1.67,0.69,0.24,-0.04
s137d7,1,1.66,0.5,0.19,0.04
s137d8,1,2.5,0.54,0.08,0.15
s137d9,1,1.48,0.62,0.19,0.14
s137dc,1,1.47,0.49,0.12,0.1
s137e1,1,1.91,0.51,0.2,-0.01
s137e2,1,0.78,0.64,0.25,-0.23
s137e3,1,1.92,0.7,0.26,-0.01
s137e5,1,1.65,0.62,0.24,-0.21
s137e6,1,2.12,0.6,0.23,-0.51
s137e8,1,1.5,0.57,0.14,-0.2
s137ec,1,0.83,0.76,0.23,0.14
s137ed,1,0.74,0.69,0.16,-0.01
s137ee,1,2.09,0.68,0.17,-0.18
s137ef,1,1.31,0.44,0.15,0.11
s37cf1,1,1.33,0.7,0.18,0.54
s137f3,1,1.5,0.33,0.12,0.09
s137f4,1,1.27,0.43,0.25,0.13
s137f5,1,1.41,0.72,0.24,-0.05
s137f6,1,1.69,0.54,0.18,0.02
s37cf2,1,2.06,0.56,0.25,-0.23
s37cf5,1,0.77,0.63,0.18,-0.74
s137f9,1,1.51,0.48,0.11,-0.13
s137fb,1,2.07,0.64,0.08,0.14
s137ff,1,1.76,0.6,0.24,0.12
s13804,1,1.75,0.57,0.1,0.19
s13808,1,1.25,0.79,0.1,-0.14
s13809,1,1.96,0.43,0.21,0.01
s1380b,1,1.47,0.6,0.27,-0.2
s1380d,1,1.5,0.7,0.11,-1.09
s13813,1,2.96,0.73,-0.08,0.59
s37cfe,1,2.45,0.66,0.19,0.36
s1381b,1,1.67,0.73,0.28,-0.08
s1381c,1,1.54,0.64,0.22,0.04
s1381d,1,1.53,0.7,0.25,-0.04
s0584b,1,1.33,0.45,0.13,0.07
s05868,1,2.75,0.62,0.23,-0.05
s0586d,1,1.57,0.55,0.24,-0.21
s05856,1,1.39,0.49,0.18,-0.2
s0585f,1,1.33,0.7,0.23,-0.05
s05855,1,1.61,0.44,0.19,0.17
s058bb,1,1.51,0.69,0.13,0.01
s058b8,1,1.35,0.54,0.4,-0.18
s058b6,1,1.52,0.52,0.23,0.13
s058b7,1,0.86,0.59,0.27,0.07
s058b4,1,1.42,0.41,0.28,0.06
s058cc,1,1.81,0.67,0.26,0
s058de,1,1.61,0.64,0.24,-0.02
s058dd,1,1.74,0.59,0.21,0.01
s058dc,1,1.48,0.51,0.17,0.15
s0589a,1,1.49,0.56,0.18,-0.02
s058a5,1,1.66,0.7,0.15,-0.08
s05898,1,1.42,0.6,0.21,-0.02
s05899,1,1.8,0.57,0.24,0
s05893,1,1.23,0.62,0.16,0.02
s05880,1,2.18,0.7,0.26,-0.08
s0587f,1,1.69,0.59,0.19,-0.11
s058e5,1,1.69,0.62,0.22,0.03
s057af,1,1.53,0.51,0.14,0.05
s057ad,1,1.92,0.65,0.2,-0.2
s057ac,1,1.97,0.78,0.24,-0.26
s057aa,1,2.88,0.66,0.26,-0.11
s057d0,1,1.73,0.63,0.24,-0.12
s057cf,1,1.3,0.42,0.23,0.11
s057e1,1,1.59,0.56,0.14,0.08
s057cc,1,0.93,0.38,0.2,0.03
s13827,1,2.14,0.64,0.24,0.04
s057cb,1,1.6,0.65,0.14,-0.17
s057c9,1,1.67,0.59,0.18,0.05
s057c7,1,1.76,0.53,0.15,-0.42
s05838,1,1.55,0.48,0.16,-0.06
s05830,1,1.52,0.43,0.16,0.04
s05823,1,1.65,0.52,0.18,0.09
s05831,1,1.7,0.55,0.22,0.39
s0582e,1,2.9,0.73,0.2,-0.1
s0582c,1,1.12,0.36,0.07,0.2
s05837,1,1.92,0.55,0.22,0.24
s05805,1,1.76,0.7,0.22,-0.03
s05804,1,3.01,0.39,0.33,0.27
s05803,1,1.29,0.45,0.1,-0.05
s37d05,1,0.96,0.66,0.22,0.28
s05800,1,1.52,0.47,0.07,0.12
s1382c,1,1.75,0.31,0.09,-0.23
s05846,1,2.36,0.93,0.21,0.02
s05845,1,1.69,0.66,0.28,-0.07
s05844,1,1.72,0.43,0.14,0.12
s05843,1,1.74,0.47,0.15,-0.04
s0578b,1,1.85,0.75,0.15,0.02
s0578c,1,2.58,0.4,0.13,-0.07
s05790,1,1.84,0.57,0.25,0.02
s05788,1,0.49,0.58,0.27,-0.6
s05786,1,1.88,0.65,0.19,0.09
s05784,1,2.15,0.6,0.1,0.06
s05785,1,1.08,0.66,0.21,-0.2
s05782,1,1.78,0.61,0.25,0.02
s0579d,1,2.67,0.48,0.41,0.17
s13832,1,1.69,0.83,0.25,-0.08
s13835,1,1.84,0.71,0.23,-0.01
s13836,1,2.25,0.53,0.07,0.22
s13837,1,1.6,0.43,0,0.19
s13838,1,1.01,0.8,0.16,-0.61
s1383b,1,1.88,0.41,0.16,0.04
s1383d,1,0.83,0.56,0.15,0.09
s1383f,1,1.43,0.36,0.15,0.17
s13846,1,1.72,0.66,0.2,-0.05
s1384c,1,1.76,0.38,0.22,0.42
s1384d,1,1.66,0.67,0.16,-0.65
s05848,1,1.62,0.46,0.16,0.06
s0584f,1,1.66,0.54,0.09,-0.03
s05865,1,1.34,0.43,0.1,0.11
s0586c,1,1.47,0.56,0.28,-0.06
s05864,1,1.58,0.51,0.22,-0.01
s05854,1,1.67,0.41,0.14,0.06
s05851,1,1.81,0.67,0.26,-0.01
s058b1,1,1.81,0.39,0.17,-0.22
s058ad,1,1.8,0.65,0.16,-0.05
s058c5,1,1.44,0.69,0.25,0.01
s058c3,1,1.64,0.6,0.24,-0.01
s058a3,1,0.8,0.68,0.11,-0.17
s05890,1,1.41,0.57,0.14,0.04
s058a2,1,1.7,0.71,0.23,-0.03
s0588f,1,1.51,0.5,0.09,-0.01
s0588e,1,1.09,0.59,0.21,-0.52
s0588a,1,1.21,0.6,0.05,-0.05
s13853,1,1.69,0.68,0.19,0.01
s0587b,1,1.46,0.71,0.22,-0.11
s0587a,1,1.7,0.7,0.14,0.03
s05887,1,1.4,0.49,0.04,-0.21
s05886,1,1.59,0.65,0.21,-0.24
s05877,1,1.73,0.71,0.25,0.03
s057a5,1,1.49,0.61,0.3,-0.2
s057b6,1,1.84,0.63,0.16,-0.25
s057a0,1,1.61,0.7,0.23,-0.17
s057b5,1,1.28,0.74,0.23,-0.6
s0579f,1,1.68,0.66,0.2,-0.18
s057c3,1,2.01,0.56,0.26,-0.11
s057dd,1,1.91,0.74,0.21,0.1
s057c0,1,1.42,0.53,0.07,0.07
s057bc,1,2.09,0.75,0.28,-0.07
s0581e,1,1.37,0.69,0.24,-0.09
s0581c,1,1.88,0.77,0.22,0.15
s05828,1,1.62,0.67,0.18,0
s0581b,1,1.56,0.69,0.23,0.02
s0581a,1,2.24,0.46,0.31,-0.26
s05817,1,1.6,0.39,0.1,0.08
s05827,1,1.54,0.48,0.04,0.1
s05811,1,1.72,0.7,0.2,0.19
s05972,1,1.61,0.62,0.27,-0.22
s05832,1,0.85,0.43,0.23,-0.14
s057fd,1,1.46,0.58,0.17,0.06
s057fc,1,1.59,0.83,0.12,-0.53
s057fa,1,0.86,0.55,0.26,0.17
s057f7,1,1.45,0.44,0.1,0.05
s057f2,1,1.96,0.59,0.21,0.13
s05781,1,1.84,0.7,0.28,0.01
s0577f,1,1.53,0.68,0.19,0
s0577d,1,1.9,0.59,0.22,-0.38
s0577c,1,1.58,0.67,0.19,-0.06
s0577b,1,1.6,0.44,0.13,0.16
s0577a,1,1.6,0.51,0.18,0.06
s05777,1,1.08,0.63,0.01,0.4
s0578e,1,1.44,0.57,0.28,0.05
s05776,1,1.54,0.49,0.1,0.04
s05791,1,1.16,0.66,0.15,0.18
s05775,1,1.11,0.88,0.23,-0.25
s1385d,1,1.48,0.57,0.3,0.02
s05773,1,2.2,0.52,0.16,0.01
s0579b,1,1.28,0.41,0.16,-0.04
s05900,1,1.96,0.67,0.19,-0.02
s05795,1,1.88,0.66,0.24,-0.03
s05794,1,1.77,0.66,0.23,-0.01
s1385e,1,1.84,0.61,0.21,-0.05
s13860,1,1.71,0.69,0.21,-0.06
s13861,1,1.67,0.65,0.33,-0.04
s13862,1,1.56,0.68,0.19,-0.04
s13866,1,1.63,0.46,0.12,0.05
s37d15,1,1.75,0.7,0.12,0.05
s05988,1,1.73,0.64,0.23,0.15
s05992,1,2.87,0.28,0.06,0.37
s059dd,1,2.1,0.64,0.19,0.22
s059ed,1,1.56,0.6,0.23,-0.21
s059ec,1,1.73,0.65,0.25,-0.01
s059eb,1,1.62,0.41,0.21,-0.07
s059ef,1,1.29,0.77,0.14,-0.08
s059ca,1,1.72,0.41,0.22,0.06
s1386d,1,1.81,0.68,0.29,-0.08
s1386e,1,1.55,0.66,0.24,0.11
s059c7,1,2.01,0.72,0.27,0.14
s059c5,1,1.86,0.66,0.2,-0.01
s059c4,1,1.71,0.66,0.25,0
s13871,1,1.49,0.62,0.2,-0.07
s059d2,1,1.46,0.62,0.19,0
s059ad,1,1.71,0.65,0.25,-0.19
s059b3,1,1.5,0.49,0.14,0.06
s0591a,1,1.45,0.51,0.17,0.19
s13872,1,1.34,0.56,0.18,-0.21
s05918,1,1.59,0.44,0.27,0.06
s0591e,1,1.77,0.58,0.01,0.26
s05939,1,1.76,0.68,0.21,-0.19
s05938,1,1.76,0.73,0.25,0.07
s05940,1,1.88,0.68,0.24,-0.24
s05932,1,1.73,0.59,0.09,-0.1
s05931,1,1.75,0.72,0.25,-0.04
s0593e,1,1.86,0.69,0.09,-0.21
s0597e,1,1.28,0.51,0.07,0.06
s0596f,1,1.73,0.63,0.2,0.06
s0596d,1,1.72,0.66,0.23,0.25
s05968,1,2.06,0.58,0.24,-0.04
s05966,1,1.07,0.46,0.09,-0.08
s05976,1,1.96,0.59,0.09,0.03
s05974,1,1.38,0.41,0.19,0.1
s05957,1,1.58,0.45,0.14,0.05
s05956,1,1.67,0.66,0.2,-0.21
s0595c,1,1.6,0.58,0.26,-0.08
s05955,1,1.61,0.64,0.19,0.15
s05954,1,1.43,0.27,0.2,0.23
s05951,1,1.82,0.6,0.27,-0.12
s0595e,1,1.66,0.68,0.27,-0.11
s0597f,1,1.23,0.41,0.08,0.32
s058f3,1,1.27,0.66,0.26,0.06
s058f6,1,1.64,0.76,0.21,-0.05
s058f5,1,0.94,0.69,0.33,-0.23
s058ee,1,2.29,0.65,0.25,-0.06
s058ec,1,2.4,0.6,0.18,-0.11
s05903,1,1.36,0.49,0.12,-0.04
s05901,1,1.62,0.54,0.23,0.14
s058fd,1,1.41,0.46,0.18,0.06
s058fc,1,1.74,0.47,0.12,0
s13880,1,1.4,0.46,0.15,-0.05
s13881,1,0.66,0.5,0.11,-0.75
s13884,1,1.53,0.71,0.11,-0.05
s13886,1,1.73,0.42,0.21,-0.01
s13888,1,0.65,0.56,-0.08,0.19
s05985,1,1.28,0.52,0.26,0.12
s05994,1,1.36,0.55,0.21,0.04
s0598f,1,1.56,0.51,0.13,-0.02
s059d7,1,1.61,0.71,0.14,-0.14
s059e5,1,1.67,0.56,0.2,-0.01
s059fb,1,1.38,0.66,0.14,0.14
s059c0,1,1.53,0.67,0.2,0.15
s059bf,1,1.26,0.57,0.2,0.13
s059cc,1,1.66,0.72,0.13,-0.2
s059ce,1,1.41,0.52,0.13,0.05
s059b1,1,1.63,0.75,0.24,-0.03
s059a7,1,1.85,0.64,0.2,0.05
s059a4,1,1.4,0.46,0.1,0.03
s059a3,1,1.35,0.61,0.24,0.14
s05a05,1,1.72,0.75,0.23,-0.11
s05a0a,1,1.7,0.66,0.22,-0.06
s0590f,1,1.58,0.57,0.16,-0.02
s0590c,1,0.92,0.48,0.18,-0.01
s0590b,1,2.6,0.62,0.1,-0.5
s0590a,1,1.79,0.66,0.22,-0.33
s0594e,1,1.88,0.52,0.14,0.02
s0594d,1,1.67,0.6,0.22,-0.26
s0594f,1,1.93,0.75,0.22,0.04
s0594b,1,1.67,0.75,0.27,-0.36
s0592f,1,1.57,0.67,0.12,-0.12
s0592d,1,1.26,0.68,0.18,-0.25
s0592c,1,1.46,0.73,0.19,-0.03
s0597d,1,1.78,0.74,0.22,-0.13
s1388e,1,1.18,0.54,0.18,-0.12
s1388f,1,1.78,0.82,0.19,-0.53
s13891,1,1.85,0.71,0.24,-0.02
s13893,1,1.57,0.67,0.2,-0.05
s13896,1,1.52,0.41,0.13,0.07
s13897,1,1.98,0.54,0.2,-0.09
s13899,1,1.52,0.42,0.19,0.1
s1389b,1,1.58,0.6,0.27,0.14
s1389e,1,2.21,0.72,0.15,-0.36
s138a1,1,1.69,0.69,0.23,-0.1
s138a3,1,1.66,0.44,0.11,0.13
s138a5,1,1.8,0.77,0.16,-0.09
s138a9,1,1.01,0.68,0.05,0.01
s37d1f,1,1.44,0.59,0.24,-0.13
s138ae,1,1.41,0.41,0.24,-0.26
s138b3,1,1.3,0.54,0.15,-0.19
s138b5,1,1.5,0.53,0.07,-0.01
s138b6,1,2.04,0.95,0.32,0.03
s138b7,1,1.59,0.41,0.18,0.15
s138bc,1,1.57,0.56,0.18,0.03
s138be,1,1.26,0.45,0.13,0
s138c1,1,1.53,0.77,0.1,-0.26
s37d24,1,1.46,0.78,0.25,-0.2
s05982,1,1.66,0.65,0.26,-0.05
s05981,1,1.71,0.72,0,-0.24
s05993,1,1.48,0.52,0.24,0.04
s05990,1,1.8,0.44,0.1,0.09
s05996,1,1.39,0.4,0.2,-0.05
s0599a,1,2.14,0.41,0.14,-0.07
s05995,1,2.09,0.66,0.27,-0.02
s0598e,1,1.77,0.71,0.24,-0.02
s059d4,1,1.62,0.61,0.21,0.15
s138c7,1,1.79,0.6,0.19,0
s138c8,1,1.3,0.64,0.16,0.04
s059e3,1,1.84,0.71,0.23,-0.02
s059f9,1,2.07,0.63,0.31,0.03
s059bc,1,1.34,0.4,0.22,0.08
s059ba,1,1.66,0.55,0.1,-0.13
s059b4,1,1.47,0.56,0.35,-0.19
s138c9,1,1.53,0.48,0.14,0.07
s138ca,1,1.79,0.64,0.24,-0.12
s059a2,1,1.49,0.55,0.21,0.12
s059a1,1,1.73,0.69,0.21,-0.01
s059a0,1,1.41,0.63,0.21,-0.02
s05907,1,2.07,0.7,0.25,-0.13
s05909,1,1.71,0.67,0.24,-0.21
s05904,1,1.44,0.52,0.14,0.13
s05947,1,1.72,0.67,0.18,-0.05
s05946,1,1.31,0.54,0.23,0.12
s05945,1,1.23,0.54,0.15,0.51
s0592a,1,1.72,0.73,0.2,-0.09
s05929,1,1.87,0.44,0.23,0.27
s05927,1,2.02,0.68,0.21,-0.42
s05926,1,1.77,0.65,0.24,-0.03
s05925,1,1.56,0.61,0.2,-0.2
s05924,1,1.65,0.59,0.21,0.05
s05923,1,1.58,0.64,0.17,-0.03
s05977,1,1.95,0.54,0.26,0.03
s05963,1,1.47,0.42,0.18,0.01
s0595f,1,1.42,0.59,0.27,0.18
s05960,1,1.76,0.76,0.27,-0.02
s138d6,1,1.73,0.67,0.25,-0.25
s138d9,1,1.97,0.76,0.27,-0.04
s138dc,1,1.62,0.65,0.21,-0.09
s138e4,1,1.67,0.6,0.27,-0.06
s138e5,1,1.8,0.69,0.24,0.01
s138e6,1,1.59,0.47,0.1,0.14
s37d2e,1,1.17,0.8,0.29,-0.03
s138e8,1,2.14,0.73,0.18,0.16
s138eb,1,1.15,0.77,0.18,-0.08
s138ee,1,1.58,0.7,0.19,-0.04
s138f6,1,1.26,0.46,0.13,-0.16
s138f7,1,1.51,0.65,0.25,-0.06
s138fe,1,1.97,0.45,0.24,0
s138ff,1,1.15,0.46,0.18,0.08
s13900,1,1.4,0.79,0.2,0
s05369,1,1.57,0.54,0.23,0.03
s0552c,1,1.43,0.53,0.15,0.01
s05529,1,1.61,0.37,0.14,-0.05
s05528,1,1.67,0.59,0.18,-0.01
s05527,1,1.11,0.45,0.15,0.07
s05526,1,1.48,0.58,0.18,0.02
s05524,1,1.43,0.5,0.18,0.09
s0559a,1,1.79,0.71,0.2,0
s0560f,1,1.59,0.62,0.15,0.01
s0560e,1,1.68,0.7,0.23,-0.06
s0560c,1,1.29,0.43,0.12,0.14
s0560b,1,1.75,0.62,0.23,-0.14
s05608,1,1.68,0.51,0.12,0.01
s05606,1,1.51,0.6,0.19,0.08
s055a9,1,1.68,0.64,0.2,-0.14
s055a7,1,1.51,0.72,0.18,0.03
s055a4,1,1.65,0.46,0.13,0.02
s055a2,1,1.68,0.64,0.2,-0.03
s055a3,1,1.4,0.46,0.16,0
s05738,1,1.78,0.62,0.14,-0.38
s05736,1,1.62,0.62,0.19,-0.03
s0569b,1,1.47,0.56,0.21,0.05
s0569a,1,1.35,0.55,0.09,0.02
s13686,1,1.31,0.47,0.13,-0.08
s05694,1,1.62,0.46,0.12,-0.07
s05690,1,1.47,0.5,0.2,-0.02
s0569d,1,1.64,0.66,0.2,-0.05
s13688,1,1.99,0.54,0.24,-0.17
s05648,1,1.37,0.47,0.18,-0.01
s05646,1,1.58,0.72,0.18,-0.01
s05644,1,1.5,0.47,0.07,0.06
s05645,1,1.69,0.44,0.09,0.08
s1368a,1,1.24,0.64,0.25,-0.04
s05641,1,1.54,0.45,0.14,0.04
s05640,1,1.07,0.56,0.28,-0.11
s0563d,1,1.46,0.45,0.12,-0.03
s0563b,1,1.49,0.51,0.19,-0.06
s05639,1,1.72,0.67,0.17,-0.04
s05637,1,1.49,0.49,0.11,0
s05635,1,1.75,0.66,0.2,-0.05
s054f4,1,1.81,0.82,0.22,-0.16
s054f8,1,1.69,0.54,0.26,-0.08
s054f3,1,1.72,0.57,0.04,-0.05
s054f1,1,1.36,0.61,0.1,-0.32
s054f0,1,1.88,0.58,0.23,0.03
s054ef,1,1.81,0.5,0.09,0.05
s1368c,1,1.42,0.5,0.17,-0.01
s054fb,1,1.42,0.51,0.18,0.01
s054ec,1,1.45,0.66,0.25,-0.21
s054ea,1,1.69,0.69,0.22,-0.06
s1368e,1,1.53,0.7,0.21,-0.04
s054e9,1,1.72,0.68,0.21,0.04
s05393,1,0.7,0.59,0.23,-0.03
s1368f,1,1.53,0.7,0.08,-0.11
s13690,1,1.35,0.6,0.2,-0.06
s13693,1,2.15,0.5,0.09,0.06
s13694,1,1.39,0.44,0.22,-0.06
s13698,1,1.98,0.79,0.14,-0.25
s13699,1,1.78,0.72,0.2,-0.4
s1369a,1,1.28,0.42,0.14,0.07
s1369c,1,1.35,0.51,0.2,-0.09
s1369d,1,1.72,0.65,0.14,0.04
s1369e,1,1.85,0.69,0.19,-0.17
s1369f,1,1.28,0.43,0.12,-0.03
s136a2,1,1.62,0.68,0.22,0.2
s136a3,1,0.96,0.54,0.16,-0.23
s136a4,1,1.73,0.72,0.23,-0.15
s136a5,1,1.98,0.65,0.17,-0.04
s136a6,1,1.41,0.53,0.24,-0.03
s136a7,1,1.66,0.67,0.24,-0.03
s136a8,1,1.76,0.65,0.2,-0.29
s136a9,1,1.49,0.58,0.16,0
s136aa,1,1.55,0.47,0.07,-0.02
s136ab,1,2.23,0.67,0.28,-0.11
s136ac,1,1.46,0.73,0.21,0.14
s37cc0,1,1.17,0.46,0.12,0.57
s136ad,1,1.54,0.68,0.25,-0.11
s136ae,1,1.37,0.44,0.1,0.08
s136b0,1,1.52,0.47,0.2,-0.04
s136b1,1,1.73,0.72,0.25,-0.03
s136b2,1,1.59,0.69,0.24,-0.05
s136b4,1,1.34,0.44,0.11,0.11
s136b5,1,1.66,0.47,0.1,0.08
s136b8,1,1.43,0.42,0.14,0.05
s136bb,1,1.96,0.68,0.08,-0.28
s136bc,1,1.64,0.67,0.25,-0.18
s136bd,1,1.63,0.6,0.38,0.13
s136bf,1,1.57,0.64,0.22,-0.12
s136c0,1,1.53,0.43,0.22,0.2
s136c3,1,2.7,0.62,0.26,0.31
s136c5,1,1.58,0.45,0.12,-0.03
s136c8,1,1.94,0.53,0.2,-0.03
s136c9,1,1.49,0.7,0.23,-0.02
s136ca,1,2.41,0.51,0.1,-0.07
s136cc,1,1.59,0.65,0.19,-0.04
s136cd,1,1.53,0.81,0.07,-0.1
s136ce,1,1.01,0.65,0.08,0.27
s136d1,1,2.16,0.75,0.19,-0.09
s136d2,1,1.49,0.43,0.15,-0.04
s136d4,1,1.76,0.68,0.24,0
s136d5,1,0.91,0.56,0.08,0.05
s136d7,1,0.71,0.44,0.13,0
s136d8,1,1.14,0.65,0.12,0.28
s136d9,1,1.66,0.45,0.14,0.04
s136da,1,1.2,0.55,0.22,-0.05
s136db,1,1.69,0.66,0.26,-0.04
s136dd,1,1.59,0.48,0.14,0.04
s136df,1,1.71,0.63,0.22,-0.02
s136e1,1,1.58,0.78,0.19,-0.16
s05366,1,1.46,0.52,0.11,0.07
s05522,1,1.77,0.55,0.12,0.03
s05521,1,1.8,0.57,0.13,0.1
s0551b,1,1.86,0.61,0.14,0.03
s05596,1,1.71,0.64,0.18,-0.02
s05601,1,1.6,0.66,0.2,0.06
s055fb,1,1.54,0.73,0.17,-0.33
s055f9,1,1.72,0.49,0.12,0.06
s055f8,1,1.67,0.61,0.19,-0.1
s055f4,1,1.75,0.65,0.24,-0.03
s0559f,1,1.35,0.47,0.12,0.02
s05730,1,1.99,0.49,0.17,0.09
30PReinmuth,2,1.6,0.57,0.32,0.19
46P/Wirtirana,2,1.25,3.39,0.22,0.12
50P/Arend,2,1.72,0.57,0.08,0.27
62P/Tsuchinshan,2,1.27,0.45,0.18,0.07
65P/Gunn,2,1.68,0.58,0.21,0.08
65P/Gunn,2,1.57,0.55,0.21,0.09
67P/Churyumov-Gerasimenko,2,1.83,0.68,0.24,0.06
69P/Taylor,2,1.51,0.6,0.25,0.06
70P/Kojima,2,1.47,0.64,0.23,0.21
C/1999,2,1.76,0.62,0.31,0.18
C/2000,2,1.55,0.55,0.22,0.1
C/2000,2,1.55,0.57,0.23,0.12
C/2000,2,1.04,0.56,0.41,0.09
C/2000,2,1.66,0.52,0.21,0.04
C/2000,2,1.58,0.55,0.18,0.09
C/2001,2,1.24,1.43,0.1,0.33
C/2002,2,1.35,0.58,0.14,0.21
C/2002,2,0.6,2.07,0.27,0.71
C/2002,2,1.52,0.66,0.23,0.09
P/1999,2,1.73,0.58,0.23,0.09
Carme,3,0,0.872343,0.411734,0
Elara,3,0,0.895628,0.572873,0
Pasiphae,3,0,1.213781,0.186708,0
Sinope,3,0,0.332794,-2.90441,0
natsat,3,0,-4.142635,-3.303912,0
natsat,3,0,-4.719553,-0.191843,0
Ariel,3,0,-0.139999,-0.247876,0
Ariel,3,0,-0.224377,0.065869,0
Miranda,3,0,0.746657,-0.143921,0
Oberon,3,0,-0.064752,-0.087808,0
Oberon,3,0,0.055726,-0.150842,0
Titania,3,0,-0.071182,-0.105109,0
Titania,3,0,-0.004196,-0.080282,0
Umbriel,3,0,0.068019,-0.081424,0
Umbriel,3,0,0.086978,-1.77441,0
natsat,3,0,-2.514692,-0.216578,0
Triton,3,0,-0.170699,-0.267839,0
natsat,3,0,-0.238858,-0.21,0
